datetime, temperature [C], salinity [psu], sound speed velocity [m/s]
2020-01-21 14:32:09,29.17,0.00,1507.368
2020-01-21 14:32:10,29.17,0.00,1507.368
2020-01-21 14:32:11,29.17,0.00,1507.368
2020-01-21 14:32:12,29.17,0.00,1507.370
2020-01-21 14:32:13,29.17,0.00,1507.372
2020-01-21 14:32:14,29.17,0.00,1507.372
2020-01-21 14:32:15,29.17,0.00,1507.377
2020-01-21 14:32:16,29.17,0.00,1507.377
2020-01-21 14:32:17,29.18,0.00,1507.380
2020-01-21 14:32:18,29.18,0.00,1507.384
2020-01-21 14:32:19,29.18,0.00,1507.389
2020-01-21 14:32:20,29.18,0.00,1507.389
2020-01-21 14:32:21,29.18,0.00,1507.396
2020-01-21 14:32:22,29.18,0.00,1507.396
2020-01-21 14:32:23,29.18,0.00,1507.401
2020-01-21 14:32:24,29.19,0.00,1507.401
2020-01-21 14:32:25,29.19,0.00,1507.403
2020-01-21 14:32:26,29.19,0.00,1507.413
2020-01-21 14:32:27,29.19,0.00,1507.413
2020-01-21 14:32:28,29.19,0.00,1507.415
2020-01-21 14:32:29,29.19,0.00,1507.420
2020-01-21 14:32:30,29.19,0.00,1507.420
2020-01-21 14:32:31,29.19,0.00,1507.425
2020-01-21 14:32:32,29.19,0.00,1507.427
2020-01-21 14:32:33,29.20,0.00,1507.427
2020-01-21 14:32:34,29.20,0.00,1507.432
2020-01-21 14:32:35,29.20,0.00,1507.439
2020-01-21 14:32:36,29.20,0.00,1507.439
2020-01-21 14:32:37,29.20,0.00,1507.443
2020-01-21 14:32:38,29.20,0.00,1507.443
2020-01-21 14:32:39,29.20,0.00,1507.448
2020-01-21 14:32:40,29.20,0.00,1507.451
2020-01-21 14:32:41,29.21,0.00,1507.455
2020-01-21 14:32:42,29.21,0.00,1507.455
2020-01-21 14:32:43,29.21,0.00,1507.460
2020-01-21 14:32:44,29.21,0.00,1507.460
2020-01-21 14:32:45,29.21,0.00,1507.462
2020-01-21 14:32:46,29.21,0.00,1507.467
2020-01-21 14:32:47,29.21,0.00,1507.472
2020-01-21 14:32:48,29.21,0.00,1507.474
2020-01-21 14:32:49,29.21,0.00,1507.474
2020-01-21 14:32:50,29.22,0.00,1507.479
2020-01-21 14:32:51,29.22,0.00,1507.479
2020-01-21 14:32:52,29.22,0.00,1507.484
2020-01-21 14:32:53,29.22,0.00,1507.486
2020-01-21 14:32:54,29.22,0.00,1507.486
2020-01-21 14:32:55,29.22,0.00,1507.491
2020-01-21 14:32:56,29.22,0.00,1507.491
2020-01-21 14:32:57,29.22,0.00,1507.495
2020-01-21 14:32:58,29.22,0.00,1507.498
2020-01-21 14:32:59,29.23,0.00,1507.498
2020-01-21 14:33:00,29.23,0.00,1507.503
2020-01-21 14:33:01,29.23,0.00,1507.507
