datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-09 13:36:58,17.50,0.08,1474.683
2019-10-09 13:36:59,17.50,0.08,1474.688
2019-10-09 13:37:00,17.50,0.08,1474.693
2019-10-09 13:37:01,17.50,0.08,1474.695
2019-10-09 13:37:02,17.50,0.08,1474.697
2019-10-09 13:37:03,17.50,0.08,1474.697
2019-10-09 13:37:04,17.51,0.08,1474.703
2019-10-09 13:37:05,17.51,0.08,1474.706
2019-10-09 13:37:06,17.51,0.08,1474.713
2019-10-09 13:37:07,17.51,0.08,1474.723
2019-10-09 13:37:08,17.52,0.08,1474.733
2019-10-09 13:37:09,17.52,0.08,1474.736
2019-10-09 13:37:10,17.52,0.08,1474.749
2019-10-09 13:37:11,17.52,0.08,1474.759
2019-10-09 13:37:12,17.52,0.08,1474.759
2019-10-09 13:37:13,17.52,0.08,1474.759
2019-10-09 13:37:14,17.52,0.08,1474.759
2019-10-09 13:37:15,17.52,0.08,1474.759
2019-10-09 13:37:16,17.52,0.08,1474.762
2019-10-09 13:37:17,17.52,0.08,1474.762
2019-10-09 13:37:18,17.52,0.08,1474.762
2019-10-09 13:37:19,17.52,0.08,1474.762
2019-10-09 13:37:20,17.52,0.08,1474.769
2019-10-09 13:37:21,17.52,0.08,1474.772
2019-10-09 13:37:22,17.52,0.08,1474.772
2019-10-09 13:37:23,17.52,0.08,1474.772
2019-10-09 13:37:24,17.52,0.08,1474.772
2019-10-09 13:37:25,17.52,0.08,1474.769
2019-10-09 13:37:26,17.52,0.08,1474.769
2019-10-09 13:37:27,17.52,0.08,1474.762
2019-10-09 13:37:28,17.52,0.08,1474.759
2019-10-09 13:37:29,17.52,0.08,1474.759
2019-10-09 13:37:30,17.52,0.08,1474.759
2019-10-09 13:37:31,17.52,0.08,1474.762
2019-10-09 13:37:32,17.53,0.08,1474.769
2019-10-09 13:37:33,17.53,0.08,1474.772
2019-10-09 13:37:34,17.53,0.08,1474.779
2019-10-09 13:37:35,17.53,0.08,1474.779
2019-10-09 13:37:36,17.53,0.08,1474.782
2019-10-09 13:37:37,17.53,0.08,1474.782
2019-10-09 13:37:38,17.53,0.08,1474.782
2019-10-09 13:37:39,17.53,0.08,1474.782
2019-10-09 13:37:40,17.53,0.08,1474.782
2019-10-09 13:37:41,17.53,0.08,1474.792
2019-10-09 13:37:42,17.53,0.08,1474.792
2019-10-09 13:37:43,17.53,0.08,1474.792
2019-10-09 13:37:44,17.53,0.08,1474.798
2019-10-09 13:37:45,17.54,0.08,1474.798
2019-10-09 13:37:46,17.54,0.08,1474.798
2019-10-09 13:37:47,17.54,0.08,1474.808
2019-10-09 13:37:48,17.54,0.08,1474.808
2019-10-09 13:37:49,17.54,0.08,1474.808
2019-10-09 13:37:50,17.54,0.08,1474.811
2019-10-09 13:37:51,17.54,0.08,1474.811
2019-10-09 13:37:52,17.54,0.08,1474.818
2019-10-09 13:37:53,17.54,0.08,1474.818
2019-10-09 13:37:54,17.54,0.08,1474.821
2019-10-09 13:37:55,17.54,0.08,1474.821
2019-10-09 13:37:56,17.54,0.08,1474.821
2019-10-09 13:37:57,17.54,0.08,1474.821
2019-10-09 13:37:58,17.53,0.08,1474.811
2019-10-09 13:37:59,17.53,0.08,1474.808
2019-10-09 13:38:00,17.53,0.08,1474.802
2019-10-09 13:38:01,17.53,0.08,1474.798
2019-10-09 13:38:02,17.53,0.08,1474.798
2019-10-09 13:38:03,17.53,0.08,1474.798
2019-10-09 13:38:04,17.53,0.08,1474.798
2019-10-09 13:38:05,17.53,0.08,1474.798
2019-10-09 13:38:06,17.53,0.08,1474.798
2019-10-09 13:38:07,17.53,0.08,1474.792
2019-10-09 13:38:08,17.53,0.08,1474.792
2019-10-09 13:38:09,17.53,0.08,1474.792
2019-10-09 13:38:10,17.53,0.08,1474.792
2019-10-09 13:38:11,17.53,0.08,1474.792
2019-10-09 13:38:12,17.53,0.08,1474.792
2019-10-09 13:38:13,17.54,0.08,1474.802
2019-10-09 13:38:14,17.53,0.08,1474.802
2019-10-09 13:38:15,17.53,0.08,1474.802
2019-10-09 13:38:16,17.53,0.08,1474.802
2019-10-09 13:38:17,17.53,0.08,1474.798
2019-10-09 13:38:18,17.54,0.08,1474.798
2019-10-09 13:38:19,17.54,0.08,1474.798
2019-10-09 13:38:20,17.54,0.08,1474.808
2019-10-09 13:38:21,17.54,0.08,1474.808
2019-10-09 13:38:22,17.54,0.08,1474.811
2019-10-09 13:38:23,17.54,0.08,1474.818
2019-10-09 13:38:24,17.55,0.08,1474.828
2019-10-09 13:38:25,17.55,0.08,1474.838
2019-10-09 13:38:26,17.55,0.08,1474.841
2019-10-09 13:38:27,17.54,0.08,1474.841
2019-10-09 13:38:28,17.54,0.08,1474.841
2019-10-09 13:38:29,17.54,0.08,1474.838
2019-10-09 13:38:30,17.54,0.08,1474.828
2019-10-09 13:38:31,17.53,0.08,1474.821
2019-10-09 13:38:32,17.53,0.08,1474.808
2019-10-09 13:38:33,17.53,0.08,1474.802
2019-10-09 13:38:34,17.53,0.08,1474.798
2019-10-09 13:38:35,17.53,0.08,1474.798
2019-10-09 13:38:36,17.53,0.08,1474.798
2019-10-09 13:38:37,17.53,0.08,1474.802
2019-10-09 13:38:38,17.53,0.08,1474.802
2019-10-09 13:38:39,17.53,0.08,1474.802
2019-10-09 13:38:40,17.53,0.08,1474.802
2019-10-09 13:38:41,17.53,0.08,1474.802
2019-10-09 13:38:42,17.53,0.08,1474.802
2019-10-09 13:38:43,17.53,0.08,1474.802
2019-10-09 13:38:44,17.54,0.08,1474.802
2019-10-09 13:38:45,17.54,0.08,1474.802
2019-10-09 13:38:46,17.54,0.08,1474.811
2019-10-09 13:38:47,17.54,0.08,1474.821
2019-10-09 13:38:48,17.54,0.08,1474.821
2019-10-09 13:38:49,17.54,0.08,1474.821
2019-10-09 13:38:50,17.54,0.08,1474.818
2019-10-09 13:38:51,17.54,0.08,1474.818
2019-10-09 13:38:52,17.54,0.08,1474.811
2019-10-09 13:38:53,17.54,0.08,1474.811
2019-10-09 13:38:54,17.53,0.08,1474.808
2019-10-09 13:38:55,17.53,0.08,1474.808
2019-10-09 13:38:56,17.53,0.08,1474.802
2019-10-09 13:38:57,17.54,0.08,1474.802
2019-10-09 13:38:58,17.54,0.08,1474.802
2019-10-09 13:38:59,17.54,0.08,1474.808
2019-10-09 13:39:00,17.54,0.08,1474.818
2019-10-09 13:39:01,17.54,0.08,1474.828
2019-10-09 13:39:02,17.55,0.08,1474.838
2019-10-09 13:39:03,17.55,0.08,1474.838
2019-10-09 13:39:04,17.55,0.08,1474.841
2019-10-09 13:39:05,17.55,0.08,1474.841
2019-10-09 13:39:06,17.55,0.08,1474.841
2019-10-09 13:39:07,17.54,0.08,1474.841
2019-10-09 13:39:08,17.54,0.08,1474.841
2019-10-09 13:39:09,17.54,0.08,1474.838
2019-10-09 13:39:10,17.54,0.08,1474.838
2019-10-09 13:39:11,17.54,0.08,1474.838
2019-10-09 13:39:12,17.54,0.08,1474.831
2019-10-09 13:39:13,17.54,0.08,1474.831
2019-10-09 13:39:14,17.54,0.08,1474.828
2019-10-09 13:39:15,17.53,0.08,1474.821
2019-10-09 13:39:16,17.53,0.08,1474.811
2019-10-09 13:39:17,17.52,0.08,1474.802
2019-10-09 13:39:18,17.52,0.08,1474.788
2019-10-09 13:39:19,17.51,0.08,1474.772
2019-10-09 13:39:20,17.51,0.08,1474.752
2019-10-09 13:39:21,17.51,0.08,1474.736
2019-10-09 13:39:22,17.50,0.08,1474.726
2019-10-09 13:39:23,17.50,0.08,1474.716
2019-10-09 13:39:24,17.50,0.08,1474.706
2019-10-09 13:39:25,17.50,0.08,1474.703
2019-10-09 13:39:26,17.50,0.08,1474.697
2019-10-09 13:39:27,17.50,0.08,1474.697
2019-10-09 13:39:28,17.50,0.08,1474.693
2019-10-09 13:39:29,17.50,0.08,1474.693
2019-10-09 13:39:30,17.50,0.08,1474.693
2019-10-09 13:39:31,17.51,0.08,1474.697
2019-10-09 13:39:32,17.51,0.08,1474.706
2019-10-09 13:39:33,17.51,0.08,1474.716
2019-10-09 13:39:34,17.51,0.08,1474.723
2019-10-09 13:39:35,17.52,0.08,1474.726
2019-10-09 13:39:36,17.52,0.08,1474.736
2019-10-09 13:39:37,17.52,0.08,1474.749
2019-10-09 13:39:38,17.52,0.08,1474.759
2019-10-09 13:39:39,17.52,0.08,1474.762
2019-10-09 13:39:40,17.52,0.08,1474.767
2019-10-09 13:39:41,17.52,0.08,1474.767
2019-10-09 13:39:42,17.52,0.08,1474.769
2019-10-09 13:39:43,17.52,0.08,1474.762
2019-10-09 13:39:44,17.50,0.08,1474.762
2019-10-09 13:39:45,17.49,0.08,1474.749
2019-10-09 13:39:46,17.49,0.08,1474.703
2019-10-09 13:39:47,17.48,0.08,1474.674
2019-10-09 13:39:48,17.47,0.08,1474.647
2019-10-09 13:39:49,17.46,0.08,1474.626
2019-10-09 13:39:50,17.45,0.08,1474.587
2019-10-09 13:39:51,17.43,0.08,1474.557
2019-10-09 13:39:52,17.42,0.08,1474.513
2019-10-09 13:39:53,17.41,0.08,1474.475
2019-10-09 13:39:54,17.41,0.08,1474.442
2019-10-09 13:39:55,17.41,0.08,1474.413
2019-10-09 13:39:56,17.41,0.08,1474.398
2019-10-09 13:39:57,17.41,0.08,1474.393
2019-10-09 13:39:58,17.41,0.08,1474.386
2019-10-09 13:39:59,17.41,0.08,1474.386
2019-10-09 13:40:00,17.41,0.08,1474.386
2019-10-09 13:40:01,17.41,0.08,1474.396
2019-10-09 13:40:02,17.41,0.08,1474.403
2019-10-09 13:40:03,17.41,0.08,1474.403
2019-10-09 13:40:04,17.41,0.08,1474.404
2019-10-09 13:40:05,17.41,0.08,1474.407
